date,home_team,score,away_team
28-01-2023,St Mirren,1 - 0,Motherwell
01-02-2023,Aberdeen,1 - 3,St Mirren
04-02-2023,St Mirren,0 - 1,Hibernian
15-02-2023,Motherwell,2 - 1,St Mirren
18-02-2023,St Mirren,1 - 0,Ross County
25-02-2023,St Johnstone,1 - 1,St Mirren
05-03-2023,St Mirren,1 - 5,Celtic
18-03-2023,Dundee United,1 - 1,St Mirren
01-04-2023,St Mirren,3 - 0,Livingston
08-04-2023,Hearts,0 - 2,St Mirren
15-04-2023,Rangers,5 - 2,St Mirren
22-04-2023,St Mirren,0 - 2,Kilmarnock
06-05-2023,Hibernian,2 - 1,St Mirren
13-05-2023,St Mirren,2 - 2,Hearts
20-05-2023,Celtic,2 - 2,St Mirren
24-05-2023,Aberdeen,3 - 0,St Mirren
27-05-2023,St Mirren,0 - 3,Rangers
